x1;x2;y
1;2;11,11843759
3;6;147,3473507
5;10;300,2346477
7;14;36,58630502
9;18;469,5898873
11;22;203,804043
13;26;292,6240181
15;30;132,1128997
17;34;872,3731105
19;38;292,5611211
21;42;1386,506954
23;46;1142,217038
25;50;494,6780733
27;54;1578,03144
29;58;1824,096406
31;62;1849,960937
33;66;623,4889174
35;70;2401,439676
37;74;208,3730357
39;78;1583,480985
41;82;1713,085787
43;86;2181,035812
45;90;1825,658075
47;94;1240,962479
49;98;2814,355523
51;102;2503,88768
53;106;1792,66442
55;110;2927,673224
57;114;3160,559351
59;118;3001,743104
61;122;533,6367247
63;126;4208,653596
65;130;2717,238725
67;134;1588,556561
69;138;4379,805581
71;142;2773,865949
73;146;2965,833627
75;150;1648,520196
77;154;4664,004981
79;158;4485,20539
81;162;1186,483444
83;166;5035,167886
85;170;5213,322708
87;174;332,2643378
89;178;4841,652233
91;182;579,9432739
93;186;2511,448718
95;190;5464,738827
97;194;1466,037478
99;198;2670,206724
101;202;7365,893708
103;206;3805,768375
105;210;1004,971518
107;214;809,2897535
109;218;2789,671119
111;222;3897,447108
113;226;4850,417371
115;230;5937,91453
117;234;6294,707545
119;238;1582,782334
121;242;6539,960634
123;246;4804,633011
125;250;4409,416819
127;254;3116,696571
129;258;9281,239873
131;262;5775,790841
133;266;2415,139915
135;270;8754,81804
137;274;4110,410591
139;278;4750,758478
141;282;6855,317462
143;286;7296,563855
145;290;6897,49265
147;294;1006,712513
149;298;10130,74282
151;302;5965,062104
153;306;2014,459658
155;310;8777,092822
157;314;7039,164787
159;318;9986,846483
161;322;4400,679441
163;326;9972,352438
165;330;10696,94935
167;334;9915,22917
169;338;11662,06077
171;342;327,4831141
173;346;8148,252859
175;350;4574,574942
177;354;5051,615596
179;358;311,332065
181;362;7853,212284
183;366;10393,47912
185;370;6255,310636
187;374;8166,766908
189;378;10261,90855
191;382;8928,594822
193;386;4786,64327
195;390;12723,41269
197;394;3439,055202
199;398;3232,241555
201;402;2156,993403
203;406;8357,036451
205;410;10296,90325
207;414;11300,56175
209;418;9409,964788
211;422;4114,163092
213;426;7292,423768
215;430;14761,51174
217;434;10471,2626
219;438;6048,349213
